,user,posts
208,littlexiaowei,@pastrylover7 @jianxin93 @fattyboi_bento 🙌
209,ihkk33,Liked and following @deliveroo_sg and @nicolechangmin @meikuen62 @imhelenbain @melodyngwy
210,kite23prom,@applegsy @ashkachete @88_kg_88
211,ruthpriscillahow,@lizchan86 💕 @qiuwei1985 @eugenia_sll
212,ngohcheehoo,@p0ppy.123 👍👍 @philipraj1974 @pearlyious
213,rubywilliam1o1,@melinateo 🎈🎈 @melody.tsk @melody_kittykat
214,sheilamansy,"*Giveaway* One of the rare days Thad gets to eat the same lunch as us :PGot a CNY gathering coming up and not sure what to eat? Spend $20 in a single receipt on @deliveroo_sg and stand a chance to win $888 Deliveroo credits. 1 winner everyday for 28 days!On top of that, we're giving away 2x $88 Deliveroo credits here ~ Simply follow @deliveroo_sg and tag 3 friends in the comments below. The more entries, the higher your chances of winning. Giveaway ends 9 Feb 2021, 23:59#DeliverooSG"
215,yapitsxuen,@jimmydengster @flywithturtle @clumsypink
216,wkxsam,@sirless @summeryamm @dingtaro
217,eieitoh,@hotpinktoe @hengbohk @jingxintan
218,eieitoh,@feligoh90 @isabellfoo @ahbing5
219,jesschong4732,@claramummee @zanwz @huangmama.isme
220,ch0oooo,@kev1n_1ee @regsuscitate @leoandrew8
221,ivanayeo,@yeo00theresa @thesesmiles @chloeloo03 wohoooooo! 😋 hope to win the giveaway$
222,xuefang,@erica.lye @juleentan @jon.yzj
223,xuefang,@haa.zzel @angie_rainie @nessalyz
224,hukaaaaa,@yeojillian @rochelleyyx @huiminpinpin
225,hukaaaaa,@rachsq13 @iaoyn @duanclareng
226,sammyleesf,@paulchoos @kennypaulafobic @jcyz
227,vyl_99,@jasonguevarabasilan @purusothkirsh @evonnesay
228,claramummee,@jljmjamie @the.ngfamily @mmlauraz
229,claramummee,@jesschong4732 @nyh0220 @indigocloud1996
230,keeofheart,@rreeggiinneeee @mdm.teoch @vincentchen_love
231,haofeng94,@naomicpk @richardtay2008 @bobtee2
232,haofeng94,@85hy @yummymich @andrewchf888
233,iam_mcmic,@ks_kaisheng @loewethegreat @anvilicious
234,raeannana,@whoaho7
235,haofeng94,@skohhg @runnerchan @reamblu11
236,skywayavenues,@haileysimxn @huiling_2 @kaylenhuang
237,raeannana,@janzdecz
238,raeannana,@singtothedawnie
239,poojakawatra,🎊🎉G.I.V.E.A.W.A.Y🎉🎊CNY is just around the corner and perfect time to sit together and relish a lovely meal while making beautiful memories. Making it more special and hassle free with ordering the food with Deliveroo.Just spend $20 in a single order and stand a chance to win $888 deliveroo credits.There will be 1 winner per day for 28 days and draw ends on 28 Feb 2021. Good luck!-🎊Making it more exciting? 🎉2 lucky followers of mine will get to win $88 deliveroo credits each (valid till 28th Feb 2021) too! YAY! 🥳Simply:1. Like this post2. Follow @poojakawatra and @deliveroo_sg3. Tag 3 friends/family you’ll like to invite this CNY! (One per comment only).........:..#CNY2021 #deliveroosg #Mums_Babies
240,"shrimarai
Verified",Awww such a cute pic
241,poojakawatra,#sgmums #sgmummy #singapore #sgblogger #sgmom #lifestyleblogger #indianmomblogger #momblogger #mominfluencer #chinesenewyear2021 #familytime #supportlocal #sgfamily #foodstagram #foodiesofinstagram
242,princes_ruk,Beautiful
243,the_skinslayer,Congratulations to all participants
244,princes_ruk,Beautiful family
245,busywithmytoddler,This is amazing❤️
246,princes_ruk,Wowww
247,princes_ruk,Superb
248,shu_jun_p,#
249,nudma.tales,Sounds great ❤️
250,tiny_cuddles25,Wow this sounds really good 👍
251,princes_ruk,😍
252,princes_ruk,😍
253,princes_ruk,🔥🔥❤️
254,beingmomtastic,That sounds exciting
255,aliceneo21,@chickenandegg2006 🥇🥇🥇
256,mom_of_ilaan,@nihtaf_ina_kisa
257,shu_jun_p,@a2dzriel
258,shu_jun_p,@ckck7377
259,shu_jun_p,@plchia
260,shu_jun_p,@colacatt
261,shu_jun_p,@sebashoo
262,ckck7377,@tanjulie27
263,princes_ruk,@aysha_ruknuddin
264,c0rde,"G I V E A W A Y.Spend $20 in a single order and stand a chance to win $888 worth of @Deliveroo_SG credits! 1 winner will be picked daily all the way till 28 Feb!.We got some Japanese made easy with deliveroo’s wide array, quite sure you would be spoilt for choice!.And in the meantime, I will be giving away to 2 lucky followers $88 worth of Deliveroo credits (valid till 28th Feb 2021!).Like this post!.Follow @deliveroo_sg as well as myself, @c0rde.Tag 3 friends/families you’ll like to invite this Lunar New year’s reunion!.Giveaway ends 10th Feb 2021! Best of luck!.#DeliverooSG #studio155sg"
265,jollyjolenejollylife,@alocasia @cherieleecy @kevlynlow 😍😍😍😍 i wanna win this so we can have a mini gathering!!!!
266,alocasia,@jollyjolenejollylife 😘
267,jollyjolenejollylife,@kevinchoamj @ada_ada @dan.chong.76 i wanna win this voucher and invite u guys over!!!! 😍😍😍😍😍😍
268,kevinchoamj,@jollyjolenejollylife swee wish u good luck
269,jollyjolenejollylife,@kimmywawawa @zzzmimizzz @wongadr 😍😍😍😍 makan time!!!
270,_shurei,@xlitingggx @blurpeers @_christopher_neo
271,geralne,@jsinsy @joyjudyjoy @melvinye
272,geralne,@chiaconstance @alarizesh @gwenelgee
273,jollyjolenejollylife,@prilatay @yenncher @janjansim 😍😍😍 A cny gathering for our lil bubs????
274,doublerainbow00,@zaxandy @muze90lim @star_soul 🤩❣️
